51300019678,bfc,71,115
51300044754,cgg,297,77
51300103382,acc,12,129
51300214513,fgd,248,183
51300256587,fea,213,219
51300283637,cbf,224,282
51300344022,dfd,140,277
51300345555,fec,277,288
51300352613,gda,164,256
51300401375,gfa,244,112
51300410994,aea,110,177
51300412043,deg,231,192
51300424191,fbe,192,221
51300458274,dfd,151,268
51300503801,fea,265,197
51300515828,aae,21,57
51300523591,bff,57,254
51300543493,ade,286,190
51300595502,fbb,131,136
51300606830,bag,142,266
51300611969,cdb,205,27
51300613599,bfc,115,101
51300628576,eeb,289,159
51300675395,fbd,194,199
51300693586,bag,19,268
51300707995,dea,163,189
51300735298,aaa,200,231
51300773030,eaf,199,291
51300844151,fgb,227,142
51300889741,cdd,232,187
51300970839,cbe,118,298
51300986820,cdb,291,22
51301004864,cef,85,277
51301022897,fdc,260,246
51301036599,dbf,29,218
51301085681,faf,20,296
51301157727,bbe,280,170
51301219031,dda,33,196
51301225641,cac,255,262
51301230714,ada,39,9
51301245018,acf,191,42
51301293563,fba,268,23
51301329971,dbd,91,199
51301336537,bab,20,294
51301340924,cgf,111,110
51301368608,bdd,177,194
51301395465,bbb,66,297
51301397317,bga,22,253
51301427245,ebc,8,287
51301433273,gfc,219,5
51301457859,caa,14,137
51301460408,deb,220,112
51301484812,bgd,127,247
51301497436,fgb,247,126
51301515428,gad,177,159
51301538632,gga,56,104
51301556063,agd,290,135
51301628517,dcb,165,162
51301639753,dca,2,291
51301650768,ffg,256,24
51301674412,eeg,275,249
51301718107,cba,211,210
51301730754,cae,175,205
51301776901,afa,268,143
51301789146,ecc,63,161
51301801763,fda,90,158
51301842298,gba,182,160
51301854280,fgg,104,119
51301912115,dab,125,77
51301913089,cdc,279,262
51301930506,dbe,166,102
51302026898,adg,247,122
51302077857,cdg,113,13
51302092779,efg,13,179
51302098238,gae,169,270
51302115817,add,225,282
51302133318,cca,21,105
51302136824,aga,291,215
51302285721,ade,299,171
51302293080,cbe,178,306
51302373253,gcb,85,150
51302391943,cae,165,168
51302407824,ada,152,9
51302440955,fbc,220,196
51302498607,gbf,236,51
51302540715,gde,197,242
51302556134,fab,284,243
51302568301,ged,114,253
51302578289,dea,122,160
51302584502,cdb,223,21
51302626703,ffg,172,27
51302644899,bcf,297,298
51302656126,abd,239,64
51302684537,gfa,27,113
51302701978,aca,256,23
51302708326,fac,274,84
51302709829,cca,254,97
51302752763,eca,50,97
51302811262,aad,190,102
51302866870,dbf,264,209
51302898974,bgf,204,115
51302910256,fbf,72,40
51302928344,gea,41,105
51302942852,bed,298,173
51302958374,gge,293,79
51302967046,fdg,230,147
51302998683,gbd,204,293
51303010501,eac,180,103
51303013539,ggb,138,279
51303042177,cba,133,174
51303079305,edg,128,289
51303089203,cgc,3,163
51303137322,ega,154,95
51303141071,gbg,160,178
51303163864,bbc,286,90
51303178845,cag,124,101
51303191621,bdg,222,287
51303199811,ggf,194,41
51303213777,cde,107,287
51303235436,dfe,8,20
51303236708,gee,6,106
51303285700,dae,124,253
51303287552,fcf,109,62
51303291870,bee,160,244
51303295391,edf,226,15
51303301083,ebd,77,7
51303379544,ccf,299,222
51303407452,fcd,269,284
51303417648,gag,236,84
51303428318,ecg,114,51
51303454319,dfc,199,130
51303456775,ffb,30,255
51303457875,bbe,168,190
51303500710,edc,214,184
51303547947,cdg,143,10
51303548034,ddb,153,44
51303576715,bcc,102,167
51303625452,ccg,34,210
51303657971,efb,124,39
51303731591,eag,285,133
51303732000,ebd,163,5
51303740650,ddf,102,206
51303763580,fgc,255,249
51303773451,egb,243,19
51303775523,ggf,281,35
51303787968,fea,246,171
51303802916,gca,25,261
51303810994,bcb,269,254
51303816152,cda,290,92
51303873862,efb,269,37
51303894262,dbe,111,89
51303899140,gad,177,162
51303910515,cdd,127,168
51303939309,dcg,181,209
51303968456,cfc,241,211
51303968812,daa,55,237
51303986893,ccc,151,119
51304017655,cbf,41,296
51304058705,ebc,118,235
51304059353,afb,163,207
51304081067,abc,24,77
51304093743,gff,224,108
51304139816,dea,202,156
51304144950,dac,253,89
51304157298,abe,146,121
51304176448,bbg,1,91
51304180063,aae,12,59
51304226546,eed,135,81
51304259975,aca,85,19
51304272877,cbc,141,229
51304326705,geg,33,213
51304332849,ceg,154,66
51304349122,fbb,190,146
51304373120,gfb,270,94
51304375842,cdg,238,8
51304395361,agd,293,148
51304405038,bed,75,197
51304416718,bag,176,316
51304420101,ggg,216,205
51304456572,fbb,248,134
51304466768,eae,210,23
51304489866,ebe,106,267
51304545662,fbe,59,187
51304546097,bce,64,271
51304560728,aad,20,108
51304614719,ebe,209,315
51304672538,bfb,211,294
51304672848,ebf,279,81
51304702818,ddg,84,71
51304705312,bbc,80,104
51304712652,gcg,63,66
51304715212,dcb,126,173
51304724689,agf,295,74
51304738626,bde,63,63
51304779058,eaf,175,244
51304825721,aea,20,148
51304836696,gad,79,134
51304900217,abf,42,232
51304919725,geg,192,240
51304941833,edb,52,299
51304955853,dcc,195,123
51304959620,efa,187,19
51304974005,beg,62,163
51304990075,aed,73,290
51305025703,fgf,103,124
51305059423,gfg,255,40
51305073523,ege,150,99
51305075223,dge,264,123
51305085874,dcd,48,39
51305092060,agb,145,83
51305094711,gde,41,210
51305095653,cbd,113,237
51305096710,gbe,187,19
51305102820,efb,72,41
51305116865,fcg,186,12
51305121428,cac,296,264
51305133521,bfb,189,317
51305200719,faf,94,239
51305241830,cce,225,292
51305249913,gda,153,207
51305267522,gdf,197,146
51305286768,gcf,159,67
51305317275,fee,175,180
51305332628,bge,295,240
51305362518,gef,237,101
51305389997,efg,59,150
51305418081,bgd,231,217
51305452040,aaa,121,200
51305485614,ffd,163,68
51305485895,ddf,261,191
51305502946,egg,299,283
51305506103,bca,73,110
51305541747,dea,295,138
51305578731,gce,240,213
51305598189,geb,103,285
51305610727,afg,14,253
51305628623,fec,3,296
51305630394,dff,231,66
51305631326,ged,80,230
51305634355,ada,4,9
51305646245,bcd,18,187
51305650371,dge,119,145
51305715802,cfa,6,227
51305725389,eda,77,92
51305737178,eae,177,20
51305758326,dca,43,302
51305762137,bbf,86,115
51305798887,faa,67,202
51305804637,adc,257,125
51305817183,gbc,131,30
51305878643,fff,193,252
51305883760,fad,71,287
51305887606,fdb,135,251
51305900998,bgf,89,129
51305909730,cbe,186,342
51305928386,cbc,257,242
51305953118,bgb,116,47
51305958069,gdd,204,13
51305962367,efa,107,22
51306008995,ebg,42,184
51306017049,egg,28,322
51306026278,fag,45,18
51306050741,dga,258,17
51306053707,ccc,177,102
51306067701,dgf,133,58
51306070797,cgg,155,64
51306073715,fgd,278,148
51306099105,eac,93,100
51306149613,bag,60,360
51306153841,bac,208,288
51306157542,bea,80,126
51306224596,cfb,5,64
51306229653,cgc,245,193
51306251691,cda,114,96
